timestamp,views,likes,comments
2026-09-18T13:01:33.679109+00:00,204,4,0
2026-09-18T14:01:26.923464+00:00,548,14,0
2026-09-18T15:00:52.767039+00:00,750,19,1
2026-09-18T16:01:19.881748+00:00,953,23,2
2026-09-18T17:01:07.906431+00:00,1237,26,2
2026-09-18T18:01:17.766150+00:00,1470,27,3
2026-09-18T19:01:29.850334+00:00,1745,26,3
2026-09-18T20:01:12.541086+00:00,2008,28,3
2026-09-18T21:01:26.434397+00:00,2225,29,3
2026-09-18T22:01:10.486590+00:00,2362,31,3
2026-09-18T23:00:55.047634+00:00,2479,31,3
2026-09-19T00:01:14.488262+00:00,2661,33,3
2026-09-19T01:01:11.046836+00:00,2753,33,3
2026-09-19T02:00:56.290910+00:00,2838,33,3
2026-09-19T03:01:05.509897+00:00,2914,33,3
2026-09-19T04:00:22.051843+00:00,2983,34,3
2026-09-19T05:00:27.268107+00:00,3056,35,3
2026-09-19T10:00:21.393494+00:00,3308,35,3
2026-09-20T00:00:24.303086+00:00,3762,36,3
2026-09-20T01:00:21.570199+00:00,3762,36,3
2026-09-20T02:02:17.590446+00:00,3762,36,3
2026-09-21T00:00:25.895399+00:00,4319,43,3
2026-09-21T02:00:23.367762+00:00,4319,43,3
2026-09-21T03:00:26.403595+00:00,4350,43,3
2026-09-21T04:00:26.400857+00:00,4350,43,3
2026-09-21T05:00:23.620310+00:00,4366,44,4
2026-09-21T23:00:25.067895+00:00,4541,46,4
