timestamp,views,likes,comments
2026-09-11T23:00:47.565946+00:00,232,7,13
2026-09-12T00:01:28.106273+00:00,303,9,19
2026-09-12T01:00:51.380425+00:00,557,10,23
2026-09-12T02:00:48.708125+00:00,799,12,24
2026-09-12T03:01:14.509212+00:00,1061,14,26
2026-09-12T04:00:56.149806+00:00,2596,15,34
2026-09-12T05:01:03.293334+00:00,3280,16,35
2026-09-12T06:01:21.180917+00:00,3786,16,37
2026-09-12T07:00:51.605943+00:00,4560,17,37
2026-09-12T08:00:59.009779+00:00,5251,18,37
2026-09-12T09:00:52.052145+00:00,5776,18,38
2026-09-12T10:01:18.411698+00:00,6442,19,38
2026-09-12T11:01:06.526843+00:00,6459,19,38
2026-09-12T12:00:47.484148+00:00,6459,19,38
2026-09-12T13:01:23.315388+00:00,6500,19,38
2026-09-12T14:00:48.417747+00:00,6643,19,39
2026-09-12T15:01:06.776781+00:00,6779,19,40
2026-09-12T16:01:23.396891+00:00,6914,19,40
2026-09-12T17:01:18.974910+00:00,7059,19,40
2026-09-12T18:01:12.203627+00:00,7192,19,40
2026-09-12T19:01:11.725696+00:00,7255,19,41
2026-09-12T20:00:42.253873+00:00,7363,19,41
2026-09-12T21:01:06.059156+00:00,7426,19,41
2026-09-12T22:00:41.022201+00:00,7426,19,41
2026-09-12T23:00:55.930712+00:00,7426,19,41
2026-09-13T00:00:51.262557+00:00,7549,19,41
2026-09-13T01:00:41.517364+00:00,7549,19,41
2026-09-13T02:00:38.271225+00:00,7595,19,41
2026-09-13T03:00:47.191262+00:00,7644,19,42
2026-09-13T04:01:06.812746+00:00,7683,18,42
2026-09-13T05:00:56.152900+00:00,7716,18,42
2026-09-13T06:01:09.331634+00:00,7716,18,42
2026-09-13T07:01:05.155679+00:00,7790,18,42
2026-09-13T08:01:12.027005+00:00,7833,18,42
2026-09-13T09:01:14.315622+00:00,7838,18,42
2026-09-13T10:00:54.706726+00:00,7838,18,42
