timestamp,views,likes,comments
2026-09-12T18:01:13.536032+00:00,77,0,4
2026-09-12T19:01:12.867770+00:00,300,16,11
2026-09-12T20:00:43.606182+00:00,530,26,25
2026-09-12T21:01:07.227113+00:00,861,31,25
2026-09-12T22:00:42.216673+00:00,1360,38,26
2026-09-12T23:00:57.110418+00:00,2458,40,27
2026-09-13T00:00:52.270070+00:00,5039,47,27
2026-09-13T01:00:42.589164+00:00,5894,55,27
2026-09-13T02:00:39.303720+00:00,6637,63,28
2026-09-13T03:00:48.276795+00:00,7599,69,28
2026-09-13T04:01:07.725453+00:00,8626,73,29
2026-09-13T05:00:57.329617+00:00,9502,78,29
2026-09-13T06:01:10.541763+00:00,10423,83,30
2026-09-13T07:01:06.236971+00:00,11341,87,30
2026-09-13T08:01:13.035993+00:00,12112,91,31
2026-09-13T09:01:15.519821+00:00,12827,91,31
2026-09-13T10:00:55.720272+00:00,14439,92,31
2026-09-13T11:01:14.321932+00:00,14598,95,35
2026-09-13T12:01:23.822895+00:00,14986,98,35
2026-09-13T13:00:41.255224+00:00,15553,100,35
2026-09-13T14:00:42.292200+00:00,16018,101,35
2026-09-13T15:01:06.886040+00:00,16436,103,35
2026-09-13T16:01:16.718330+00:00,16795,105,35
2026-09-13T17:01:13.359814+00:00,17103,107,35
2026-09-13T18:01:15.705157+00:00,17359,108,35
2026-09-13T19:00:56.300665+00:00,17359,108,35
2026-09-13T20:01:19.692399+00:00,17359,109,36
2026-09-13T21:00:41.764371+00:00,17482,109,36
2026-09-13T22:00:58.275189+00:00,17649,109,36
2026-09-13T23:00:57.594981+00:00,17766,109,36
2026-09-14T00:00:09.333949+00:00,17766,109,36
