timestamp,views,likes,comments
2026-09-14T15:01:19.651213+00:00,0,19,14
2026-09-14T16:01:19.442035+00:00,2256,72,66
2026-09-14T17:01:34.892349+00:00,4866,149,208
2026-09-14T18:00:35.548694+00:00,7581,216,304
2026-09-14T19:01:12.551261+00:00,12404,278,387
2026-09-14T20:01:22.440037+00:00,19196,322,465
2026-09-14T21:00:56.777937+00:00,27290,353,529
2026-09-14T22:01:18.766325+00:00,34256,375,566
2026-09-14T23:01:29.696164+00:00,40187,379,599
2026-09-15T00:01:02.773074+00:00,44863,404,614
2026-09-15T01:00:46.807835+00:00,48507,447,636
2026-09-15T02:00:48.877651+00:00,52801,483,664
2026-09-15T03:00:56.993542+00:00,58480,513,685
2026-09-15T04:00:43.394614+00:00,66891,539,746
2026-09-15T05:01:24.309354+00:00,71231,563,758
2026-09-15T06:00:49.877984+00:00,75161,579,773
2026-09-15T07:01:06.161009+00:00,77435,591,784
2026-09-15T08:00:32.452932+00:00,80620,598,777
2026-09-15T09:01:03.996310+00:00,82735,599,779
2026-09-15T10:01:09.885277+00:00,85339,600,782
2026-09-15T11:00:42.531544+00:00,85898,606,792
2026-09-15T12:01:00.502444+00:00,86437,615,801
2026-09-15T13:00:48.401925+00:00,87495,622,816
2026-09-15T14:00:57.907335+00:00,88758,629,831
2026-09-15T15:00:34.632365+00:00,90018,635,841
2026-09-15T16:01:48.153202+00:00,91287,634,849
2026-09-15T17:01:04.746972+00:00,91907,635,858
2026-09-15T18:00:55.451083+00:00,92168,636,856
2026-09-15T19:01:28.801095+00:00,92395,637,860
2026-09-15T20:00:41.940880+00:00,93236,637,868
2026-09-15T21:01:10.422205+00:00,93995,638,885
2026-09-15T22:01:34.240951+00:00,94401,638,888
2026-09-15T23:01:25.761287+00:00,94726,638,883
