timestamp,views,likes,comments
2026-09-14T15:01:19.651213+00:00,0,19,14
2026-09-14T16:01:19.442035+00:00,2256,72,66
2026-09-14T17:01:34.892349+00:00,4866,149,208
2026-09-14T18:00:35.548694+00:00,7581,216,304
2026-09-14T19:01:12.551261+00:00,12404,278,387
2026-09-14T20:01:22.440037+00:00,19196,322,465
2026-09-14T21:00:56.777937+00:00,27290,353,529
2026-09-14T22:01:18.766325+00:00,34256,375,566
2026-09-14T23:01:29.696164+00:00,40187,379,599
2026-09-15T00:01:02.773074+00:00,44863,404,614
