timestamp,views,likes,comments
2026-09-15T14:01:00.023634+00:00,29,3,0
2026-09-15T15:00:36.520901+00:00,863,48,4
2026-09-15T16:01:50.319721+00:00,1359,82,6
2026-09-15T17:01:06.671578+00:00,1755,108,8
2026-09-15T18:00:57.832625+00:00,1925,132,8
2026-09-15T19:01:31.125761+00:00,2091,153,8
2026-09-15T20:00:43.811249+00:00,2630,160,9
2026-09-15T21:01:12.343257+00:00,3311,162,9
2026-09-15T22:01:36.044901+00:00,4067,166,9
2026-09-15T23:01:27.469876+00:00,4835,170,9
2026-09-16T00:00:38.673573+00:00,5486,174,10
2026-09-16T01:01:06.642200+00:00,5699,195,12
2026-09-16T02:01:05.055838+00:00,5796,211,12
2026-09-16T03:00:45.851647+00:00,5947,223,13
2026-09-16T04:01:04.710645+00:00,6437,228,13
2026-09-16T05:00:41.584053+00:00,7190,232,13
2026-09-16T06:01:13.799391+00:00,8467,243,13
2026-09-16T07:01:12.687798+00:00,9472,247,13
2026-09-16T08:00:49.266012+00:00,10234,258,14
2026-09-16T09:01:03.514034+00:00,10765,281,14
2026-09-16T10:01:09.403186+00:00,11771,289,14
2026-09-16T11:00:43.729328+00:00,11878,298,15
2026-09-16T12:00:42.978973+00:00,12138,323,15
2026-09-16T13:01:25.693483+00:00,13073,341,16
2026-09-16T14:00:40.175233+00:00,13831,370,17
2026-09-16T15:01:19.316864+00:00,14789,396,19
2026-09-16T16:02:09.179876+00:00,15821,424,21
2026-09-16T17:00:47.187671+00:00,17041,451,21
2026-09-16T18:01:07.404144+00:00,18748,467,22
2026-09-16T19:01:14.150744+00:00,20405,476,23
2026-09-16T20:00:56.319634+00:00,21845,492,23
2026-09-16T21:01:34.259877+00:00,23379,503,23
2026-09-16T22:01:11.562638+00:00,25130,515,23
2026-09-16T23:01:08.191603+00:00,26245,529,23
2026-09-17T00:00:48.658813+00:00,27087,543,25
2026-09-17T01:00:57.955490+00:00,28031,559,25
