timestamp,views,likes,comments
2026-09-15T14:01:00.023634+00:00,29,3,0
2026-09-15T15:00:36.520901+00:00,863,48,4
2026-09-15T16:01:50.319721+00:00,1359,82,6
2026-09-15T17:01:06.671578+00:00,1755,108,8
2026-09-15T18:00:57.832625+00:00,1925,132,8
2026-09-15T19:01:31.125761+00:00,2091,153,8
2026-09-15T20:00:43.811249+00:00,2630,160,9
2026-09-15T21:01:12.343257+00:00,3311,162,9
2026-09-15T22:01:36.044901+00:00,4067,166,9
2026-09-15T23:01:27.469876+00:00,4835,170,9
2026-09-16T00:00:38.673573+00:00,5486,174,10
