timestamp,views,likes,comments
2026-09-21T22:00:52.740384+00:00,188,2,2
2026-09-21T23:00:51.920577+00:00,477,8,3
2026-09-22T00:01:20.738374+00:00,767,10,4
2026-09-22T01:01:24.989886+00:00,1411,16,4
2026-09-22T02:01:27.237772+00:00,2055,20,5
2026-09-22T03:01:02.498424+00:00,2814,20,5
2026-09-22T04:00:49.337659+00:00,3480,23,5
2026-09-22T05:01:20.535632+00:00,4118,25,5
2026-09-22T06:00:47.039678+00:00,4485,28,6
2026-09-22T07:01:20.386546+00:00,4721,28,6
2026-09-22T08:01:12.032722+00:00,4992,29,6
2026-09-22T09:01:41.097750+00:00,5147,30,6
2026-09-22T10:01:51.996435+00:00,5317,32,6
2026-09-22T11:01:07.534142+00:00,5324,32,6
2026-09-22T12:01:03.376014+00:00,5422,33,6
2026-09-22T13:01:37.725045+00:00,5514,34,6
2026-09-22T14:01:17.391247+00:00,5627,36,6
2026-09-22T15:00:51.503303+00:00,5720,36,6
2026-09-22T16:01:09.142429+00:00,5856,36,6
2026-09-22T17:01:17.464985+00:00,5967,37,6
2026-09-22T18:01:24.149203+00:00,6095,38,6
2026-09-22T19:01:28.210628+00:00,5872,39,6
2026-09-22T20:01:15.434644+00:00,5962,39,6
2026-09-22T21:00:49.099992+00:00,6025,39,6
2026-09-22T22:01:26.306366+00:00,6110,39,6
