timestamp,views,likes,comments
2026-09-18T12:01:23.505046+00:00,165,4,0
2026-09-18T13:01:33.417212+00:00,1327,46,3
2026-09-18T14:01:26.798231+00:00,1862,64,6
2026-09-18T15:00:52.625966+00:00,2130,78,7
2026-09-18T16:01:19.667903+00:00,6015,85,24
2026-09-18T17:01:07.790352+00:00,10642,91,25
2026-09-18T18:01:17.571954+00:00,14060,92,25
2026-09-18T19:01:29.605408+00:00,16043,95,25
2026-09-18T20:01:12.419210+00:00,17467,96,25
2026-09-18T21:01:26.256119+00:00,18466,98,25
2026-09-18T22:01:10.259694+00:00,19077,98,25
2026-09-18T23:00:54.869945+00:00,19403,98,25
2026-09-19T00:01:14.294876+00:00,19567,99,25
2026-09-19T01:01:10.785617+00:00,19706,99,25
2026-09-19T02:00:56.110258+00:00,19806,99,26
2026-09-19T03:01:05.729215+00:00,19938,99,26
2026-09-19T04:00:52.149612+00:00,20031,99,26
2026-09-19T05:01:06.601510+00:00,20063,99,26
2026-09-19T06:01:14.310877+00:00,20127,101,18
2026-09-19T07:01:16.083195+00:00,20264,101,14
2026-09-19T08:01:29.790867+00:00,20380,101,13
2026-09-19T09:00:54.962348+00:00,20545,101,14
2026-09-19T10:00:44.932234+00:00,20733,102,14
2026-09-19T11:01:15.165970+00:00,20826,102,14
2026-09-19T12:01:24.536824+00:00,20915,102,14
2026-09-19T13:01:05.158670+00:00,21029,103,14
2026-09-19T14:01:10.071199+00:00,21128,103,14
2026-09-19T15:00:49.392229+00:00,21223,103,14
2026-09-19T16:01:18.049388+00:00,21299,103,14
2026-09-19T17:00:58.347263+00:00,21365,103,14
2026-09-19T18:01:11.077508+00:00,21422,103,14
2026-09-19T19:01:17.690339+00:00,21448,103,14
