timestamp,views,likes,comments
2026-09-18T13:01:33.652886+00:00,259,4,0
2026-09-18T14:01:26.892970+00:00,693,13,3
2026-09-18T15:00:52.738093+00:00,881,18,3
2026-09-18T16:01:19.852731+00:00,1077,20,4
2026-09-18T17:01:07.872369+00:00,1431,19,6
2026-09-18T18:01:17.738036+00:00,1767,20,7
2026-09-18T19:01:29.764981+00:00,2229,20,7
2026-09-18T20:01:12.510723+00:00,2565,21,7
2026-09-18T21:01:26.404771+00:00,2832,21,7
2026-09-18T22:01:10.450506+00:00,3027,23,7
2026-09-18T23:00:55.013611+00:00,3174,23,7
2026-09-19T00:01:14.447580+00:00,3350,26,7
2026-09-19T01:01:11.004803+00:00,3482,26,7
2026-09-19T02:00:56.257635+00:00,3605,26,7
2026-09-19T03:01:05.478460+00:00,3722,27,7
2026-09-19T04:00:51.800203+00:00,3811,27,7
2026-09-19T05:01:06.350900+00:00,3913,27,7
2026-09-19T06:01:14.135800+00:00,4011,28,7
