timestamp,views,likes,comments
2026-09-13T16:01:17.306980+00:00,746,23,9
2026-09-13T17:01:13.993470+00:00,1382,56,22
2026-09-13T18:01:16.283995+00:00,1949,73,28
2026-09-13T19:00:57.020959+00:00,2040,93,34
2026-09-13T20:01:20.372197+00:00,4149,107,44
2026-09-13T21:00:42.329212+00:00,6672,114,58
2026-09-13T22:00:58.968237+00:00,9655,118,62
2026-09-13T23:00:58.180621+00:00,13606,127,66
2026-09-13T23:47:58.683179+00:00,13991,131,70
2026-09-14T00:00:29.726953+00:00,14082,133,69
2026-09-14T01:01:16.634257+00:00,14600,143,76
2026-09-14T02:01:19.988680+00:00,17587,151,78
2026-09-14T03:01:00.523048+00:00,18196,156,81
2026-09-14T04:00:58.499387+00:00,19920,160,95
2026-09-14T05:00:38.628866+00:00,20214,164,97
2026-09-14T06:00:49.135266+00:00,21439,168,97
2026-09-14T07:01:10.041324+00:00,21656,171,98
2026-09-14T08:01:11.937972+00:00,22128,174,98
2026-09-14T09:01:09.058298+00:00,23464,176,100
2026-09-14T10:01:30.594899+00:00,24141,177,100
2026-09-14T11:01:07.843087+00:00,24280,176,100
2026-09-14T12:00:44.027961+00:00,24396,176,101
2026-09-14T13:00:45.981460+00:00,24671,178,101
2026-09-14T14:00:47.569879+00:00,24954,180,116
2026-09-14T15:01:18.440771+00:00,25307,184,116
2026-09-14T16:01:18.373808+00:00,25812,185,116
2026-09-14T17:01:33.608541+00:00,25995,185,116
