timestamp,views,likes,comments
2026-09-21T06:00:57.130468+00:00,714,31,2
2026-09-21T07:01:15.181893+00:00,1386,57,3
2026-09-21T08:01:29.492610+00:00,5797,70,29
2026-09-21T09:01:29.081643+00:00,12508,77,6
2026-09-21T10:01:27.573869+00:00,15515,82,4
2026-09-21T11:01:30.139392+00:00,16514,85,4
2026-09-21T12:01:16.011481+00:00,17088,88,4
2026-09-21T13:01:29.623349+00:00,18025,90,4
2026-09-21T14:01:12.478771+00:00,18734,95,4
2026-09-21T15:00:54.162927+00:00,19410,96,4
2026-09-21T16:01:22.920543+00:00,19808,97,4
2026-09-21T17:01:28.305749+00:00,20089,97,4
2026-09-21T18:00:43.791687+00:00,20410,97,4
2026-09-21T19:00:52.351475+00:00,20637,97,4
2026-09-21T20:02:10.973339+00:00,20856,98,4
2026-09-21T21:01:04.077323+00:00,20961,99,4
2026-09-21T22:00:51.338686+00:00,21124,100,4
2026-09-21T23:00:50.418137+00:00,21084,102,4
2026-09-22T00:01:19.153612+00:00,21195,103,5
2026-09-22T01:01:23.599040+00:00,21333,105,5
2026-09-22T02:01:25.926157+00:00,21442,107,5
2026-09-22T03:01:01.129535+00:00,21565,107,5
2026-09-22T04:00:47.712476+00:00,21689,107,5
2026-09-22T05:01:18.996011+00:00,21805,107,5
2026-09-22T06:00:45.570524+00:00,21937,107,5
2026-09-22T07:01:18.601097+00:00,22018,107,5
2026-09-22T08:01:10.445726+00:00,22106,107,5
2026-09-22T09:01:39.020996+00:00,22199,107,5
