timestamp,views,likes,comments
2026-09-14T17:01:35.105856+00:00,340,16,7
2026-09-14T18:00:35.867379+00:00,507,23,9
2026-09-14T19:01:12.817248+00:00,2301,22,10
2026-09-14T20:01:22.713725+00:00,3341,24,10
2026-09-14T21:00:56.998713+00:00,3836,27,10
2026-09-14T22:01:18.964441+00:00,5336,27,10
2026-09-14T23:01:29.909081+00:00,5784,28,29
2026-09-15T00:01:03.022077+00:00,5992,29,12
2026-09-15T01:00:47.034455+00:00,6137,29,11
2026-09-15T02:00:49.206824+00:00,6220,30,10
2026-09-15T03:00:57.281986+00:00,6321,30,10
2026-09-15T04:00:43.642466+00:00,6485,30,10
2026-09-15T05:01:24.753215+00:00,6557,30,10
2026-09-15T06:00:50.284893+00:00,6628,32,10
2026-09-15T07:01:06.386849+00:00,6679,33,10
2026-09-15T08:00:32.762283+00:00,6731,34,10
2026-09-15T09:01:04.356250+00:00,6774,34,10
2026-09-15T10:01:10.126192+00:00,6843,34,10
