timestamp,views,likes,comments
2026-09-20T00:00:25.182641+00:00,104,0,0
2026-09-20T01:00:22.309820+00:00,324,7,0
2026-09-20T02:02:19.986063+00:00,621,11,0
2026-09-20T03:00:52.474628+00:00,938,23,1
2026-09-20T04:00:50.784182+00:00,1676,26,1
2026-09-20T05:00:50.481718+00:00,2298,37,1
2026-09-20T06:01:12.624020+00:00,2834,48,1
2026-09-20T07:01:22.822974+00:00,3640,61,1
2026-09-20T08:01:13.651491+00:00,4292,71,1
2026-09-20T09:00:48.885480+00:00,4829,79,2
2026-09-20T10:01:17.701306+00:00,5416,90,4
2026-09-20T11:01:04.116731+00:00,5838,93,4
2026-09-20T12:00:56.362480+00:00,6321,100,4
