timestamp,views,likes,comments
2026-09-15T07:01:07.385822+00:00,159,9,1
2026-09-15T08:00:33.757255+00:00,276,12,4
2026-09-15T09:01:05.573598+00:00,1100,14,9
2026-09-15T10:01:11.284645+00:00,2122,16,9
2026-09-15T11:00:44.016878+00:00,2569,18,10
2026-09-15T12:01:02.053448+00:00,3117,20,11
2026-09-15T13:00:49.891183+00:00,3690,22,14
2026-09-15T14:00:59.439132+00:00,4195,24,14
2026-09-15T15:00:35.895765+00:00,4673,28,15
2026-09-15T16:01:49.679839+00:00,5136,27,15
2026-09-15T17:01:06.267338+00:00,5309,26,15
2026-09-15T18:00:57.299510+00:00,5396,27,15
2026-09-15T19:01:30.360272+00:00,5491,28,15
2026-09-15T20:00:43.258827+00:00,5755,29,15
2026-09-15T21:01:11.818431+00:00,5942,30,15
2026-09-15T22:01:35.492705+00:00,6066,30,15
2026-09-15T23:01:26.937436+00:00,6138,30,15
2026-09-16T00:00:38.189284+00:00,6217,30,15
2026-09-16T01:01:06.167417+00:00,6250,30,15
2026-09-16T02:01:04.529100+00:00,6350,30,15
2026-09-16T03:00:46.349517+00:00,6422,30,15
2026-09-16T04:01:05.216194+00:00,6483,30,15
2026-09-16T05:00:42.278014+00:00,6519,31,15
2026-09-16T06:01:14.391454+00:00,6567,31,15
2026-09-16T07:01:13.381652+00:00,6626,31,15
2026-09-16T08:00:49.842484+00:00,6682,31,15
2026-09-16T09:01:03.905884+00:00,6741,31,15
2026-09-16T10:01:09.946404+00:00,6832,31,15
2026-09-16T11:00:44.173208+00:00,6844,31,15
2026-09-16T12:00:43.395303+00:00,6844,31,15
2026-09-16T13:01:26.211906+00:00,6844,31,15
2026-09-16T14:00:40.767148+00:00,6891,31,15
2026-09-16T15:01:19.828928+00:00,6893,32,15
2026-09-16T16:02:09.897956+00:00,6893,32,15
2026-09-16T17:00:47.756551+00:00,6893,32,15
2026-09-16T18:01:08.096572+00:00,6921,32,15
2026-09-16T19:01:14.670843+00:00,6921,32,15
2026-09-16T20:00:56.848246+00:00,6921,32,15
2026-09-16T21:01:34.862606+00:00,7004,32,15
2026-09-16T22:01:12.068427+00:00,7014,32,15
2026-09-16T23:01:08.760343+00:00,7037,32,15
2026-09-17T00:00:49.157499+00:00,7040,32,15
2026-09-17T01:00:58.454391+00:00,7040,32,15
2026-09-17T02:01:09.948296+00:00,7040,32,15
2026-09-17T03:00:45.544408+00:00,7070,32,15
2026-09-17T04:01:12.047567+00:00,7071,32,15
2026-09-17T05:00:46.906496+00:00,7071,32,15
2026-09-17T06:01:48.573892+00:00,7104,32,15
