timestamp,views,likes,comments
2026-09-18T17:01:08.593606+00:00,353,20,0
2026-09-18T18:01:18.493864+00:00,452,25,0
2026-09-18T19:01:30.623446+00:00,1807,34,2
2026-09-18T20:01:13.219436+00:00,2534,45,4
2026-09-18T21:01:27.094274+00:00,3672,57,5
2026-09-18T22:01:11.061412+00:00,5405,71,6
2026-09-18T23:00:55.625255+00:00,7328,76,7
2026-09-19T00:01:15.044476+00:00,8724,79,8
2026-09-19T01:01:11.624757+00:00,9846,84,8
2026-09-19T02:00:56.857596+00:00,11165,89,8
2026-09-19T03:01:05.232070+00:00,12090,94,8
2026-09-19T04:00:21.514576+00:00,12787,93,8
2026-09-19T05:00:26.725291+00:00,13429,96,8
2026-09-19T10:00:20.877879+00:00,16768,121,10
2026-09-20T00:00:23.674902+00:00,25661,159,15
2026-09-20T01:00:21.139441+00:00,25866,161,15
2026-09-20T02:02:16.890164+00:00,26235,162,15
2026-09-20T03:00:50.907983+00:00,26428,162,15
2026-09-20T04:00:49.010747+00:00,26697,163,15
2026-09-20T05:00:49.148590+00:00,26936,164,15
2026-09-20T06:01:10.973720+00:00,27108,166,16
2026-09-20T07:01:21.220490+00:00,27441,167,16
2026-09-20T08:01:12.284226+00:00,27727,169,17
2026-09-20T09:00:47.676555+00:00,28133,170,17
2026-09-20T10:01:16.291906+00:00,28507,173,17
2026-09-20T11:01:02.583474+00:00,28841,175,17
2026-09-20T12:00:55.036398+00:00,29214,172,18
2026-09-20T13:01:24.058735+00:00,29638,173,18
2026-09-20T14:00:47.171934+00:00,30289,177,20
2026-09-20T15:01:22.560906+00:00,30964,181,20
2026-09-20T16:01:02.811434+00:00,31473,185,20
