timestamp,views,likes,comments
2026-09-17T13:01:31.964715+00:00,609,20,3
2026-09-17T14:01:31.119140+00:00,1641,59,22
2026-09-17T15:01:20.772910+00:00,1870,81,16
2026-09-17T16:01:22.289331+00:00,1878,96,18
2026-09-17T17:01:21.013353+00:00,1878,100,18
2026-09-17T18:00:46.418657+00:00,5894,103,18
2026-09-17T19:01:06.320651+00:00,9324,103,18
2026-09-17T20:01:19.557654+00:00,11079,104,18
2026-09-17T21:00:58.883542+00:00,12703,106,18
2026-09-17T22:01:30.548328+00:00,13789,107,18
2026-09-17T23:00:52.463299+00:00,14213,109,18
2026-09-18T00:01:12.384927+00:00,14510,109,18
2026-09-18T01:01:05.604151+00:00,14732,110,18
2026-09-18T02:01:19.812998+00:00,14910,110,18
2026-09-18T03:01:00.822867+00:00,15068,110,18
2026-09-18T04:01:20.976978+00:00,15202,110,18
2026-09-18T05:01:08.512554+00:00,15305,110,18
2026-09-18T06:01:27.489393+00:00,15399,110,18
2026-09-18T07:01:14.655143+00:00,15471,109,18
2026-09-18T08:00:56.147439+00:00,15471,106,18
2026-09-18T09:01:11.289798+00:00,15471,106,18
2026-09-18T10:01:11.790107+00:00,15471,106,18
2026-09-18T11:00:45.835436+00:00,15471,106,18
2026-09-18T12:01:21.305517+00:00,15471,106,18
2026-09-18T13:01:31.249335+00:00,15471,106,18
2026-09-18T14:01:24.621599+00:00,15471,106,18
2026-09-18T15:00:50.490730+00:00,15471,106,18
2026-09-18T16:01:17.279899+00:00,15471,106,18
2026-09-18T17:01:05.896327+00:00,15471,106,18
2026-09-18T18:01:15.620227+00:00,15471,106,18
2026-09-18T19:01:27.369779+00:00,15471,106,18
2026-09-18T20:01:10.183342+00:00,15471,106,18
2026-09-18T21:01:24.083691+00:00,15471,106,18
2026-09-18T22:01:08.167634+00:00,15471,106,19
2026-09-18T23:00:52.908768+00:00,15471,106,19
